Name,Price(07/11/2025),Price(08/11/2025)
Bqs Aluminium Foil Tray Small 3pcs,360.0,360.0
Bqs Aluminium Lunch Box 3pcs,100.0,100.0
Bqs Bd Hand Flag,10.0,10.0
Bqs Cloth Clip 16pcs Pak,150.0,150.0
Bqs Coffee Cup 100ml,35.0,35.0
Bqs Coffee Cup Paper 150ml 12p,40.0,40.0
Bqs Coffee Cup Paper 250ml 10p,65.0,65.0
Bqs Coffee Cup Paper 350ml 10p,85.0,85.0
Bqs Coffee Mug Emoji 23140 S,370.0,370.0
Bqs Cotton Buds Adult Round,75.0,75.0
Bqs Cotton Buds Round  baby,140.0,140.0
Bqs Diam Food Wrap Roll 200ft,250.0,250.0
Bqs Diamond Naph: Ball 24 Pcs,60.0,60.0
Bqs Disposable Bowl Big 2 Kg,40.0,40.0
Bqs Disposable Bowl Medium 1 Kg,28.0,28.0
Bqs Disposable Bowl Small 3pcs,60.0,60.0
Bqs Disposable Firni Cup 10p,25.0,25.0
Bqs Disposable Glass 350 Ml 10 Pcs,90.0,90.0
Bqs Disposable Plate Heavy 3pcs,55.0,55.0
Bqs Disposable Plate Paper 5pcs,90.0,90.0
Bqs Egg Cutter S S,180.0,180.0
Bqs Flask 500 Ml Prestige,790.0,790.0
Bqs Foot File 4 In 1,120.0,120.0
Bqs Fridge Handle Cover Pier Sp:,160.0,160.0
Bqs Fry Strainer 14 Cm,145.0,145.0
Bqs Full Jharu,175.0,175.0
Bqs Garbage Bag 110 Ltr,250.0,250.0
Bqs Garbage Bag 20 Ltr,110.0,110.0
"Bqs Garbage Bag 24""×36"" 6pcs",220.0,220.0
Bqs Garbage Bag 35 L 50p,145.0,145.0
Bqs Garbage Bag 60l 20p,160.0,160.0
Bqs Garbage Bag 80 L 10p,220.0,220.0
Bqs Garbage Bag Black 16×20 Inch20p,210.0,210.0
Bqs Garbage Bag Black 18×24 Inch10p,180.0,180.0
Bqs Garbage Bage Black 20×30 Inch10p,220.0,220.0
Bqs Glass Salt Pot B,300.0,300.0
Bqs Golden Cury Spoon,330.0,330.0
Bqs Hair Brush Special,220.0,220.0
Bqs Hand Gloves Full Hand,370.0,370.0
