Name,Price(07/11/2025),Price(08/11/2025)
Lamisa Red Wheat Roti Family Pack -800gm,210,210
Lamisa Roti -Family Pack (800gm),180,180
Mach Shomachar Fish Tempura-300gm,350,350
Mach Shomachar Seafood Mix Fish Cake-300g,350,350
Mach Shomachar Smoky Tuna Kabab-300g,350,350
Moon Star Doux Chicken Franks 340 Gm,295,295
Moon Star Jodi Chicken Franks 300 Gm,295,295
Motina Aro Frozen Mix Vegetable 1kg,925,925
Naruto Frozen Baked Sweet Potato 200gm,250,250
Naruto Frozen Candied Sweet Potato 200gm,280,280
Nestle Kokokrunch Box 150gm Stk30,220,220
Ocean Ria Crab Nugget 500gm,800,800
Ocean Ria Fried Fish Bali 500gm,750,750
Ocean Ria Imitation Crab Stick 500gm,800,800
Ocean Ria Lingo Fish Cake 500gm,750,750
Ocean Ria Thai Vegie Fish Ball 500gm,750,750
Ocean Ria Vegia Fish Ball 500gm,800,800
Ocean Ria White Fish Ball 500gm,750,750
Ocean Seafood Tofu 500gm,830,830
Paragon Beef Liver Singara 300gm,300,300
Paragon Beef Momo -300gm,370,370
Paragon Beef Sausages -340gm,470,470
Paragon Chicken Ball 1000gm,550,550
Paragon Chicken Ball -250gm,200,200
Paragon Chicken Ball 500gm,285,285
Paragon Chicken Burger Patty -350gm,320,320
Paragon Chicken Liver Singara 375 Gm,160,160
Paragon Chicken Lollipop -350 Gm,295,295
Paragon Chicken Mini Samosa -250gm,210,210
Paragon Chicken Mini Spring Roll -300gm,230,230
Paragon Chicken Momo -300gm,300,300
Paragon Chicken Nuggets -300gm,240,240
Paragon Chicken Nuggets 950gm,680,680
Paragon Chicken Nuggets Spicy -250gm,210,210
Paragon Chicken Popcorn -250gm,265,265
Paragon Chicken Shami Kebab -500gm,415,415
Paragon Chicken Spring Roll -400gm,320,320
Paragon Chicken Strips -200gm,200,200
Paragon French Fries 1000gm,380,380
Paragon French Fries 500gm,200,200
Paragon Hot&Spicy Chicken Wings -300gm,250,250
Paragon Paratha -10pcs (650gm),170,170
Paragon Paratha -20pcs (1300gm),320,320
Pran Chicken Burger Patty 200 Gm,200,200
Pran Chicken Mini Samosa-250gm 25pcs,215,215
Pran Chicken Mini Spring Roll-200gm 25ps,200,200
Pran Chicken Nuggets-300gm 20ps,240,240
Pran Chicken Strips 250 Gm,280,280
Pran Chicken Wings & Drumsticks 500 Gm,320,320
Pran Deshi Paratha Family Pk-1300gm 20ps,320,320
Pran Deshi Paratha Premium Pk-650gm 10ps,170,170
Pran French Fry-500gm,200,200
Pran Jhatpot Aloo Paratha 625 Gm,160,160
Pran Jhatpot Chicken Lollipop 400 Gm,290,290
Pran Jhatpot Chicken Meatball 400 Gm,280,280
Pran Jhatpot Chicken Mini Samosa 40pcs 400g,320,320
Pran Jhatpot Chicken Shami Kabab 250gm,260,260
Pran Jhatpot Jali Kabab 300 Gm 10 Pcs,320,320
Pran Jhatpot Luchi 10 Pcs 350 Gm,65,65
Pran Jhatpot M T Aloo Puri 10pcs 454gm,140,140
Pran Jhatpot M T Dal Puri 10pcs 454gm,140,140
Pran Jhatpot Paratha Low Fat 20 Pcs 1200 Gm,250,250
Pran Jhatpot Pastry Sheet 30 Pcs 480 Gm,180,180
Pran Jhatpot Potato Wedges 500 Gm,150,150
Pran Jhatpot Sausage 250 Gm,185,185
Pran Jhatpot Sausage Roll 6 Pcs 360 Gm,240,240
Pran Jhatpot Tandoori Pizza 200 Gm,175,175
Pran Jhotpot Chicken Momo 250gm,200,200
Pran Paratha 1600 Gm 20 Pcs,370,370
Pran Paratha Low Fat Pack 10 Pcs 600g,130,130
Pran Vegetable Singara-400gm 10 Pcs,125,125
Pran Vegetable Spring Roll-360gm 9 Pcs,140,140
Pran White Meat Ball-250gm 20 Pcs,195,195
Qualit Beef Salami -200gm,320,320
Quality Chili Cheese Chicken Salami -200gm,250,250
Quality Beef Bacon -200gm,340,340
Quality Beef Burger Patty -240gm,330,330
Quality Beef Classic Sausage -280gm,370,370
Quality Beef Italian Sausage -280gm,370,370
Quality Beef Mortadella -200gm,300,300
Quality Beef Pastarami -200gm,340,340
Quality Beef Pepperoni -200gm,320,320
Quality Beef Roast -200gm,340,340
Quality Canadian Beef Bacon -200gm,320,320
Quality Chicken Buffalo Wings,340,340
Quality Chicken Frunks -300gm,180,180
Quality Chicken Meatball 1000gm,550,550
Quality Chicken Nuggets 1000gm,660,660
Quality Chicken Nuggets -250gm,230,230
Quality Chicken Sausage -350gm,285,285
Quality French Fry 1000gm,350,350
Quality Hunter Beef -200gm,320,320
Quality Integrated Chicken Kids Nuggets,230,230
Quality Integrated Premium Paratha (10 Pcs),195,195
Quality Vegetable Singara,175,175
Roja Calamari Popcorn -240gm,495,495
Roja Chewy Chewy Calamari Bites-200gm,405,405
Roja Chicken Nuggets 1000gm,650,650
Roja Crispy Crispy Fish Burger-240 Gm,245,245
Roja Crumbly Crumbly Shrimp Tempura-224 Gm,495,495
Roja Crusty Crusty Shrimp Sticks -240 Gm,285,285
Roja Drizzly Drizzly Butterfly Shrimps-200gm,495,495
Roja Elish Kabab 240g,405,405
Roja Fish Ball 160 Gm,185,185
Roja Hokey Pokey Seafood Popcorn-240 Gm,265,265
Roja Kids Shrimp Nuggets - Crunchy Crunchy 240 Gm,255,255
Roja Lal Attar Roti 20 Pcs 800g,215,215
Roja Naga Shrimp Burger -Hot & Spicy (200 Gm),265,265
Roja Shami Kebab 250g,250,250
Roja Shrimp Mini Sausage 150 Gm,195,195
Roja Shrimp Puri 320gm,135,135
Seara Chicken Franks 340g,275,275
Tasty Tibet Beef Momo -12pcs,360,360
Tasty Tibet Chicken Chilli Momo -12pcs,285,285
Tasty Tibet Chicken Chilli Momo -24pcs,535,535
Tasty Tibet Chicken Momo -12pcs,285,285
Vanderhaegen Crispy C Shoestring French Fries 1kg,1000,1000
